  0 TAO,  Function value: 8.07272,  Residual: 1.98084 
  0 TAO,  Function value: 8.07272,  Residual: 1.96036 
  0 TAO,  Function value: 8.07272,  Residual: 1.95543 
  0 TAO,  Function value: 8.02906,  Residual: 1.99001 
  0 TAO,  Function value: 7.9999,  Residual: 1.99916 
  0 TAO,  Function value: 7.9999,  Residual: 1.98318 
  0 TAO,  Function value: 7.9999,  Residual: 1.9738 
  0 TAO,  Function value: 7.9999,  Residual: 1.96564 
  0 TAO,  Function value: 7.9999,  Residual: 1.94944 
  0 TAO,  Function value: 7.9999,  Residual: 1.9494 
  0 TAO,  Function value: 7.96681,  Residual: 1.98085 
  0 TAO,  Function value: 7.96681,  Residual: 1.96733 
  0 TAO,  Function value: 7.96681,  Residual: 1.96038 
  0 TAO,  Function value: 7.93059,  Residual: 1.99189 
  0 TAO,  Function value: 7.93059,  Residual: 1.96809 
  0 TAO,  Function value: 7.93059,  Residual: 1.95588 
  0 TAO,  Function value: 7.93059,  Residual: 1.94462 
  0 TAO,  Function value: 7.93059,  Residual: 1.93467 
  0 TAO,  Function value: 7.93059,  Residual: 1.93378 
  0 TAO,  Function value: 7.93059,  Residual: 1.92817 
  0 TAO,  Function value: 7.93059,  Residual: 1.92465 
  0 TAO,  Function value: 7.93059,  Residual: 1.91559 
  0 TAO,  Function value: 7.93059,  Residual: 1.90894 
  0 TAO,  Function value: 7.93059,  Residual: 1.88668 
  0 TAO,  Function value: 7.93059,  Residual: 1.88377 
  0 TAO,  Function value: 7.93059,  Residual: 1.87272 
  0 TAO,  Function value: 7.93059,  Residual: 1.86017 
  0 TAO,  Function value: 7.93059,  Residual: 1.84708 
  0 TAO,  Function value: 7.93059,  Residual: 1.84481 
  0 TAO,  Function value: 7.93059,  Residual: 1.82248 
  0 TAO,  Function value: 7.93059,  Residual: 1.81841 
  0 TAO,  Function value: 7.93059,  Residual: 1.80483 
  0 TAO,  Function value: 7.93059,  Residual: 1.79291 
  0 TAO,  Function value: 7.93059,  Residual: 1.74703 
  0 TAO,  Function value: 7.93059,  Residual: 1.727 
  0 TAO,  Function value: 7.93059,  Residual: 1.72289 
  0 TAO,  Function value: 7.93059,  Residual: 1.71317 
  0 TAO,  Function value: 7.93059,  Residual: 1.71196 
  0 TAO,  Function value: 7.93059,  Residual: 1.70895 
  0 TAO,  Function value: 7.93059,  Residual: 1.7031 
  0 TAO,  Function value: 7.93059,  Residual: 1.68499 
  0 TAO,  Function value: 7.93059,  Residual: 1.68346 
  0 TAO,  Function value: 7.80706,  Residual: 1.80093 
  0 TAO,  Function value: 7.80706,  Residual: 1.79424 
  0 TAO,  Function value: 7.80706,  Residual: 1.79034 
  0 TAO,  Function value: 7.80706,  Residual: 1.77985 
  0 TAO,  Function value: 7.80706,  Residual: 1.76974 
  0 TAO,  Function value: 7.80706,  Residual: 1.74067 
  0 TAO,  Function value: 7.80706,  Residual: 1.73842 
  0 TAO,  Function value: 7.80706,  Residual: 1.72389 
  0 TAO,  Function value: 7.80706,  Residual: 1.71826 
  0 TAO,  Function value: 7.80706,  Residual: 1.69968 
  0 TAO,  Function value: 7.80706,  Residual: 1.69853 
  0 TAO,  Function value: 7.80706,  Residual: 1.68874 
  0 TAO,  Function value: 7.80706,  Residual: 1.6721 
  0 TAO,  Function value: 7.80706,  Residual: 1.66919 
  0 TAO,  Function value: 7.80706,  Residual: 1.64539 
  0 TAO,  Function value: 7.80706,  Residual: 1.63817 
  0 TAO,  Function value: 7.80706,  Residual: 1.63089 
  0 TAO,  Function value: 7.66596,  Residual: 1.76759 
  0 TAO,  Function value: 7.66596,  Residual: 1.75437 
  0 TAO,  Function value: 7.66596,  Residual: 1.74846 
  0 TAO,  Function value: 7.66596,  Residual: 1.74795 
  0 TAO,  Function value: 7.66596,  Residual: 1.74298 
  0 TAO,  Function value: 7.66596,  Residual: 1.74174 
  0 TAO,  Function value: 7.66596,  Residual: 1.73953 
  0 TAO,  Function value: 7.66596,  Residual: 1.73865 
  0 TAO,  Function value: 7.66596,  Residual: 1.73766 
  0 TAO,  Function value: 7.66596,  Residual: 1.73707 
  0 TAO,  Function value: 7.66596,  Residual: 1.73506 
  0 TAO,  Function value: 7.66596,  Residual: 1.72688 
  0 TAO,  Function value: 7.66596,  Residual: 1.71158 
  0 TAO,  Function value: 7.66596,  Residual: 1.68007 
  0 TAO,  Function value: 7.66596,  Residual: 1.66324 
  0 TAO,  Function value: 7.66596,  Residual: 1.65431 
  0 TAO,  Function value: 7.66596,  Residual: 1.62343 
  0 TAO,  Function value: 7.66596,  Residual: 1.62277 
  0 TAO,  Function value: 7.66596,  Residual: 1.6157 
  0 TAO,  Function value: 7.66596,  Residual: 1.61296 
