  Iteration information for tao_brgn_subsolver_ solve.
149 TAO,  Function value: 1.16271e-06,  Residual: 5.30721e-07 
150 TAO,  Function value: 1.16268e-06,  Residual: 5.11057e-07 
151 TAO,  Function value: 1.16266e-06,  Residual: 6.18954e-07 
152 TAO,  Function value: 1.16261e-06,  Residual: 6.15326e-07 
153 TAO,  Function value: 1.16256e-06,  Residual: 5.73128e-07 
154 TAO,  Function value: 1.16253e-06,  Residual: 7.13695e-07 
155 TAO,  Function value: 1.16246e-06,  Residual: 5.79484e-07 
156 TAO,  Function value: 1.16241e-06,  Residual: 5.63445e-07 
157 TAO,  Function value: 1.16237e-06,  Residual: 6.80051e-07 
158 TAO,  Function value: 1.16231e-06,  Residual: 5.66669e-07 
159 TAO,  Function value: 1.16226e-06,  Residual: 5.38554e-07 
160 TAO,  Function value: 1.16224e-06,  Residual: 6.65681e-07 
161 TAO,  Function value: 1.16217e-06,  Residual: 5.68997e-07 
162 TAO,  Function value: 1.16212e-06,  Residual: 5.74979e-07 
163 TAO,  Function value: 1.16208e-06,  Residual: 6.64813e-07 
164 TAO,  Function value: 1.16203e-06,  Residual: 6.75767e-07 
165 TAO,  Function value: 1.16201e-06,  Residual: 7.1862e-07 
166 TAO,  Function value: 1.16191e-06,  Residual: 5.32577e-07 
167 TAO,  Function value: 1.16186e-06,  Residual: 5.29436e-07 
168 TAO,  Function value: 1.16182e-06,  Residual: 5.34635e-07 
169 TAO,  Function value: 1.16182e-06,  Residual: 6.96886e-07 
170 TAO,  Function value: 1.16175e-06,  Residual: 5.75112e-07 
171 TAO,  Function value: 1.16172e-06,  Residual: 6.59356e-07 
172 TAO,  Function value: 1.16166e-06,  Residual: 5.83558e-07 
173 TAO,  Function value: 1.16162e-06,  Residual: 6.32432e-07 
174 TAO,  Function value: 1.16156e-06,  Residual: 5.67841e-07 
175 TAO,  Function value: 1.16152e-06,  Residual: 5.82621e-07 
176 TAO,  Function value: 1.16148e-06,  Residual: 6.5867e-07 
177 TAO,  Function value: 1.16142e-06,  Residual: 6.23308e-07 
178 TAO,  Function value: 1.1614e-06,  Residual: 6.96679e-07 
179 TAO,  Function value: 1.16133e-06,  Residual: 5.28537e-07 
180 TAO,  Function value: 1.16131e-06,  Residual: 6.61795e-07 
181 TAO,  Function value: 1.16126e-06,  Residual: 5.61878e-07 
182 TAO,  Function value: 1.16123e-06,  Residual: 6.363e-07 
183 TAO,  Function value: 1.16122e-06,  Residual: 7.23251e-07 
184 TAO,  Function value: 1.16114e-06,  Residual: 5.4147e-07 
185 TAO,  Function value: 1.1611e-06,  Residual: 5.35597e-07 
186 TAO,  Function value: 1.16107e-06,  Residual: 6.62331e-07 
187 TAO,  Function value: 1.16103e-06,  Residual: 6.38714e-07 
188 TAO,  Function value: 1.16097e-06,  Residual: 5.07318e-07 
189 TAO,  Function value: 1.16094e-06,  Residual: 5.60185e-07 
190 TAO,  Function value: 1.1609e-06,  Residual: 5.29492e-07 
191 TAO,  Function value: 1.16088e-06,  Residual: 6.44957e-07 
192 TAO,  Function value: 1.16083e-06,  Residual: 4.93636e-07 
193 TAO,  Function value: 1.1608e-06,  Residual: 4.66449e-07 
194 TAO,  Function value: 1.16077e-06,  Residual: 5.29001e-07 
195 TAO,  Function value: 1.16074e-06,  Residual: 6.14333e-07 
196 TAO,  Function value: 1.16069e-06,  Residual: 6.34061e-07 
197 TAO,  Function value: 1.16065e-06,  Residual: 5.90256e-07 
198 TAO,  Function value: 1.1606e-06,  Residual: 5.2171e-07 
199 TAO,  Function value: 1.16057e-06,  Residual: 6.14686e-07 
200 TAO,  Function value: 1.16051e-06,  Residual: 6.48864e-07 
201 TAO,  Function value: 1.16045e-06,  Residual: 5.72287e-07 
202 TAO,  Function value: 1.16042e-06,  Residual: 5.74878e-07 
203 TAO,  Function value: 1.16039e-06,  Residual: 6.60564e-07 
204 TAO,  Function value: 1.16033e-06,  Residual: 5.22268e-07 
205 TAO,  Function value: 1.16032e-06,  Residual: 6.55376e-07 
206 TAO,  Function value: 1.16024e-06,  Residual: 5.25647e-07 
207 TAO,  Function value: 1.1602e-06,  Residual: 5.34776e-07 
208 TAO,  Function value: 1.16017e-06,  Residual: 6.21899e-07 
209 TAO,  Function value: 1.16012e-06,  Residual: 6.58697e-07 
210 TAO,  Function value: 1.16006e-06,  Residual: 5.0037e-07 
211 TAO,  Function value: 1.16004e-06,  Residual: 6.37775e-07 
212 TAO,  Function value: 1.16e-06,  Residual: 5.65924e-07 
213 TAO,  Function value: 1.15997e-06,  Residual: 6.38797e-07 
214 TAO,  Function value: 1.15991e-06,  Residual: 5.39958e-07 
215 TAO,  Function value: 1.15989e-06,  Residual: 5.74912e-07 
216 TAO,  Function value: 1.15986e-06,  Residual: 5.62095e-07 
217 TAO,  Function value: 1.15982e-06,  Residual: 4.95556e-07 
218 TAO,  Function value: 1.15979e-06,  Residual: 4.31921e-07 
219 TAO,  Function value: 1.15978e-06,  Residual: 4.97003e-07 
220 TAO,  Function value: 1.15976e-06,  Residual: 5.59609e-07 
221 TAO,  Function value: 1.15975e-06,  Residual: 5.89133e-07 
222 TAO,  Function value: 1.15972e-06,  Residual: 5.91934e-07 
223 TAO,  Function value: 1.15967e-06,  Residual: 4.84535e-07 
224 TAO,  Function value: 1.15965e-06,  Residual: 4.69232e-07 
225 TAO,  Function value: 1.15962e-06,  Residual: 5.71107e-07 
226 TAO,  Function value: 1.15961e-06,  Residual: 6.69436e-07 
227 TAO,  Function value: 1.15955e-06,  Residual: 5.19176e-07 
228 TAO,  Function value: 1.15952e-06,  Residual: 5.50374e-07 
229 TAO,  Function value: 1.15949e-06,  Residual: 6.591e-07 
230 TAO,  Function value: 1.15948e-06,  Residual: 6.74488e-07 
231 TAO,  Function value: 1.15942e-06,  Residual: 5.73963e-07 
232 TAO,  Function value: 1.15938e-06,  Residual: 5.80751e-07 
233 TAO,  Function value: 1.15934e-06,  Residual: 5.57426e-07 
234 TAO,  Function value: 1.15932e-06,  Residual: 6.75394e-07 
235 TAO,  Function value: 1.15927e-06,  Residual: 5.30236e-07 
236 TAO,  Function value: 1.15924e-06,  Residual: 5.06799e-07 
237 TAO,  Function value: 1.15922e-06,  Residual: 5.70226e-07 
238 TAO,  Function value: 1.15921e-06,  Residual: 6.3886e-07 
239 TAO,  Function value: 1.15915e-06,  Residual: 4.78189e-07 
240 TAO,  Function value: 1.15913e-06,  Residual: 4.95353e-07 
241 TAO,  Function value: 1.15911e-06,  Residual: 5.63493e-07 
242 TAO,  Function value: 1.15907e-06,  Residual: 5.46137e-07 
243 TAO,  Function value: 1.15905e-06,  Residual: 5.79503e-07 
244 TAO,  Function value: 1.15901e-06,  Residual: 5.63892e-07 
245 TAO,  Function value: 1.15898e-06,  Residual: 5.49747e-07 
246 TAO,  Function value: 1.15896e-06,  Residual: 6.456e-07 
247 TAO,  Function value: 1.15892e-06,  Residual: 5.14616e-07 
248 TAO,  Function value: 1.15889e-06,  Residual: 5.29942e-07 
249 TAO,  Function value: 1.15888e-06,  Residual: 6.05915e-07 
250 TAO,  Function value: 1.15883e-06,  Residual: 4.46478e-07 
251 TAO,  Function value: 1.15881e-06,  Residual: 5.65083e-07 
252 TAO,  Function value: 1.15878e-06,  Residual: 6.07873e-07 
253 TAO,  Function value: 1.15874e-06,  Residual: 4.98272e-07 
254 TAO,  Function value: 1.15872e-06,  Residual: 4.93168e-07 
255 TAO,  Function value: 1.1587e-06,  Residual: 5.39729e-07 
256 TAO,  Function value: 1.15867e-06,  Residual: 5.94353e-07 
257 TAO,  Function value: 1.15863e-06,  Residual: 5.1011e-07 
258 TAO,  Function value: 1.1586e-06,  Residual: 4.99503e-07 
259 TAO,  Function value: 1.15858e-06,  Residual: 5.0095e-07 
260 TAO,  Function value: 1.15857e-06,  Residual: 6.17454e-07 
261 TAO,  Function value: 1.15854e-06,  Residual: 5.8712e-07 
262 TAO,  Function value: 1.15851e-06,  Residual: 4.62989e-07 
263 TAO,  Function value: 1.15851e-06,  Residual: 6.25943e-07 
264 TAO,  Function value: 1.15847e-06,  Residual: 4.29717e-07 
265 TAO,  Function value: 1.15845e-06,  Residual: 4.46446e-07 
266 TAO,  Function value: 1.15843e-06,  Residual: 4.72418e-07 
267 TAO,  Function value: 1.1584e-06,  Residual: 6.06982e-07 
268 TAO,  Function value: 1.15835e-06,  Residual: 4.75632e-07 
269 TAO,  Function value: 1.15833e-06,  Residual: 5.3477e-07 
270 TAO,  Function value: 1.1583e-06,  Residual: 4.65406e-07 
271 TAO,  Function value: 1.1583e-06,  Residual: 6.36846e-07 
272 TAO,  Function value: 1.15825e-06,  Residual: 4.30754e-07 
273 TAO,  Function value: 1.15824e-06,  Residual: 4.70129e-07 
274 TAO,  Function value: 1.15822e-06,  Residual: 3.99858e-07 
275 TAO,  Function value: 1.1582e-06,  Residual: 4.59185e-07 
276 TAO,  Function value: 1.15819e-06,  Residual: 5.42281e-07 
277 TAO,  Function value: 1.15819e-06,  Residual: 5.99099e-07 
278 TAO,  Function value: 1.15816e-06,  Residual: 5.15096e-07 
279 TAO,  Function value: 1.15815e-06,  Residual: 5.60601e-07 
280 TAO,  Function value: 1.15813e-06,  Residual: 5.26854e-07 
281 TAO,  Function value: 1.15811e-06,  Residual: 4.31573e-07 
282 TAO,  Function value: 1.15809e-06,  Residual: 5.81562e-07 
283 TAO,  Function value: 1.15806e-06,  Residual: 4.08736e-07 
284 TAO,  Function value: 1.15805e-06,  Residual: 4.80329e-07 
285 TAO,  Function value: 1.15804e-06,  Residual: 5.54382e-07 
286 TAO,  Function value: 1.15802e-06,  Residual: 5.45259e-07 
287 TAO,  Function value: 1.158e-06,  Residual: 5.18528e-07 
288 TAO,  Function value: 1.15798e-06,  Residual: 4.71251e-07 
289 TAO,  Function value: 1.15797e-06,  Residual: 4.40302e-07 
290 TAO,  Function value: 1.15795e-06,  Residual: 3.85326e-07 
291 TAO,  Function value: 1.15794e-06,  Residual: 4.2855e-07 
292 TAO,  Function value: 1.15792e-06,  Residual: 3.50103e-07 
293 TAO,  Function value: 1.15791e-06,  Residual: 4.09032e-07 
294 TAO,  Function value: 1.1579e-06,  Residual: 3.71771e-07 
295 TAO,  Function value: 1.15788e-06,  Residual: 3.83627e-07 
296 TAO,  Function value: 1.15788e-06,  Residual: 5.38021e-07 
297 TAO,  Function value: 1.15787e-06,  Residual: 4.72672e-07 
298 TAO,  Function value: 1.15785e-06,  Residual: 4.49257e-07 
299 TAO,  Function value: 1.15785e-06,  Residual: 5.72992e-07 
300 TAO,  Function value: 1.15783e-06,  Residual: 4.32448e-07 
301 TAO,  Function value: 1.15781e-06,  Residual: 3.67599e-07 
302 TAO,  Function value: 1.15781e-06,  Residual: 5.37075e-07 
303 TAO,  Function value: 1.15778e-06,  Residual: 4.14151e-07 
304 TAO,  Function value: 1.15778e-06,  Residual: 4.907e-07 
305 TAO,  Function value: 1.15776e-06,  Residual: 3.124e-07 
306 TAO,  Function value: 1.15775e-06,  Residual: 3.80174e-07 
307 TAO,  Function value: 1.15774e-06,  Residual: 3.57261e-07 
308 TAO,  Function value: 1.15773e-06,  Residual: 4.16974e-07 
309 TAO,  Function value: 1.15771e-06,  Residual: 3.12898e-07 
310 TAO,  Function value: 1.1577e-06,  Residual: 3.66072e-07 
311 TAO,  Function value: 1.15769e-06,  Residual: 3.367e-07 
312 TAO,  Function value: 1.15768e-06,  Residual: 3.46858e-07 
313 TAO,  Function value: 1.15767e-06,  Residual: 2.80911e-07 
