  494 KSP Residual norm 5.77437e-07 
  495 KSP Residual norm 5.63816e-07 
  496 KSP Residual norm 5.52676e-07 
  497 KSP Residual norm 5.41322e-07 
  498 KSP Residual norm 5.29232e-07 
  499 KSP Residual norm 5.18303e-07 
  500 KSP Residual norm 5.08296e-07 
  501 KSP Residual norm 5.01443e-07 
  502 KSP Residual norm 4.96526e-07 
  503 KSP Residual norm 4.9246e-07 
  504 KSP Residual norm 4.89344e-07 
  505 KSP Residual norm 4.87435e-07 
  506 KSP Residual norm 4.84668e-07 
  507 KSP Residual norm 4.81307e-07 
  508 KSP Residual norm 4.76891e-07 
  509 KSP Residual norm 4.72129e-07 
  510 KSP Residual norm 4.66421e-07 
  511 KSP Residual norm 4.58581e-07 
  512 KSP Residual norm 4.49072e-07 
  513 KSP Residual norm 4.38087e-07 
  514 KSP Residual norm 4.29728e-07 
  515 KSP Residual norm 4.20435e-07 
  516 KSP Residual norm 4.09851e-07 
  517 KSP Residual norm 3.9878e-07 
  518 KSP Residual norm 3.88679e-07 
  519 KSP Residual norm 3.78741e-07 
  520 KSP Residual norm 3.68155e-07 
  521 KSP Residual norm 3.55823e-07 
  522 KSP Residual norm 3.41756e-07 
  523 KSP Residual norm 3.32308e-07 
  524 KSP Residual norm 3.26565e-07 
  525 KSP Residual norm 3.20907e-07 
  526 KSP Residual norm 3.16588e-07 
  527 KSP Residual norm 3.13284e-07 
  528 KSP Residual norm 3.10054e-07 
  529 KSP Residual norm 3.07266e-07 
  530 KSP Residual norm 3.04456e-07 
  531 KSP Residual norm 3.00992e-07 
  532 KSP Residual norm 2.97071e-07 
  533 KSP Residual norm 2.93201e-07 
  534 KSP Residual norm 2.88476e-07 
  535 KSP Residual norm 2.81533e-07 
  536 KSP Residual norm 2.71543e-07 
  537 KSP Residual norm 2.54015e-07 
  538 KSP Residual norm 2.35174e-07 
  539 KSP Residual norm 2.18689e-07 
  540 KSP Residual norm 2.04496e-07 
  541 KSP Residual norm 1.97292e-07 
  542 KSP Residual norm 1.91814e-07 
  543 KSP Residual norm 1.88922e-07 
  544 KSP Residual norm 1.86195e-07 
  545 KSP Residual norm 1.84394e-07 
  546 KSP Residual norm 1.82618e-07 
  547 KSP Residual norm 1.80818e-07 
  548 KSP Residual norm 1.78221e-07 
  549 KSP Residual norm 1.75596e-07 
  550 KSP Residual norm 1.72794e-07 
  551 KSP Residual norm 1.69622e-07 
  552 KSP Residual norm 1.66135e-07 
  553 KSP Residual norm 1.62689e-07 
  554 KSP Residual norm 1.58671e-07 
  555 KSP Residual norm 1.54467e-07 
  556 KSP Residual norm 1.50763e-07 
  557 KSP Residual norm 1.47985e-07 
  558 KSP Residual norm 1.45331e-07 
  559 KSP Residual norm 1.42567e-07 
  560 KSP Residual norm 1.40073e-07 
  561 KSP Residual norm 1.38668e-07 
  562 KSP Residual norm 1.37566e-07 
  563 KSP Residual norm 1.36523e-07 
  564 KSP Residual norm 1.35379e-07 
  565 KSP Residual norm 1.3448e-07 
  566 KSP Residual norm 1.3353e-07 
  567 KSP Residual norm 1.3221e-07 
  568 KSP Residual norm 1.3039e-07 
  569 KSP Residual norm 1.28816e-07 
  570 KSP Residual norm 1.27077e-07 
  571 KSP Residual norm 1.2553e-07 
  572 KSP Residual norm 1.24161e-07 
  573 KSP Residual norm 1.23315e-07 
  574 KSP Residual norm 1.22754e-07 
  575 KSP Residual norm 1.22322e-07 
  576 KSP Residual norm 1.21823e-07 
  577 KSP Residual norm 1.21012e-07 
